Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count
"Bytco Point, Nashik Road",specialty coffee shop,SPECIALITY COFFEE HUB,,,4.6,13.0
"Bytco Point, Nashik Road",specialty coffee shop,Cafe black spoon,099236 76609,,4.4,28.0
"Bytco Point, Nashik Road",specialty coffee shop,Cafe Sanjeevani,098607 25155,,4.6,163.0
"Bytco Point, Nashik Road",specialty coffee shop,South Indian Filter Coffee Nashik,090964 25590,,4.8,68.0
"Bytco Point, Nashik Road",specialty coffee shop,Aks Coffee Essence,,,4.9,145.0
"Bytco Point, Nashik Road",specialty coffee shop,Emporio Coffee Lounge (Best Coffee Shop at CCM),084828 16555,,4.8,213.0
"Bytco Point, Nashik Road",specialty coffee shop,Chai Ki Patri | Cafe,093167 57370,,4.8,82.0
"Bytco Point, Nashik Road",specialty coffee shop,Pool Side Cafe,,,3.9,16.0
"Bytco Point, Nashik Road",specialty coffee shop,Cafe Jab we met,080800 07419,,4.6,33.0
"Bytco Point, Nashik Road",specialty coffee shop,PRASHANT CYBER CAFE,098232 60690,,4.3,80.0
"Bytco Point, Nashik Road",specialty coffee shop,Adarsh Amruttulya,,,3.8,6.0
"Bytco Point, Nashik Road",specialty coffee shop,The Breakfast Story Cafe & Bistro,097673 63709,,4.6,475.0
"Bytco Point, Nashik Road",specialty coffee shop,COFFEE CLUB NX,094212 90675,,4.3,917.0
"Bytco Point, Nashik Road",specialty coffee shop,Coffee Junction 24hrs,,,3.9,950.0
"Bytco Point, Nashik Road",specialty coffee shop,Cafe City Point,,,4.5,13.0
"Bytco Point, Nashik Road",specialty coffee shop,AKBAR SODA,098505 29717,,4.1,20.0
"Bytco Point, Nashik Road",specialty coffee shop,Nashik Coffee House,0253 231 3226,,3.9,130.0
"Bytco Point, Nashik Road",specialty coffee shop,Haji Tea Point,098223 38892,,4.3,26.0
"Bytco Point, Nashik Road",specialty coffee shop,M&M Cafe,084595 07305,,5.0,6.0
"Bytco Point, Nashik Road",specialty coffee shop,OM TEA HOUSE,086058 03344,,4.2,651.0
"Bytco Point, Nashik Road",specialty coffee shop,SAYANTARA,094231 75919,,4.3,5621.0
"Bytco Point, Nashik Road",specialty coffee shop,Luscious Layers,077220 82092,,4.2,2294.0
"Bytco Point, Nashik Road",specialty coffee shop,Hotspot cafe cidco,,,4.6,31.0
"Bytco Point, Nashik Road",specialty coffee shop,ASHOK BAKERY PRODUCTS,094206 90487,,4.5,279.0
"Bytco Point, Nashik Road",specialty coffee shop,The Cafe Nation,093592 13638,,5.0,3.0
"Bytco Point, Nashik Road",specialty coffee shop,CupsNCakes - Shree Krishna Sweets & Bakery,094229 45550,,4.6,70.0
"Bytco Point, Nashik Road",specialty coffee shop,Hot Spot Cafe,098230 40111,,4.4,61.0
"Bytco Point, Nashik Road",specialty coffee shop,Chaha pura,084213 82122,,4.3,37.0
"Bytco Point, Nashik Road",specialty coffee shop,Cafe Bliss,084849 52735,,4.1,1197.0
"Bytco Point, Nashik Road",specialty coffee shop,NASHIK ROAD Kirana Centre,0253 246 1465,,4.5,44.0
"Bytco Point, Nashik Road",specialty coffee shop,The Bakers Cake Shop,080076 54300,,4.8,160.0
"Bytco Point, Nashik Road",specialty coffee shop,Muscle Meal,095799 53981,,5.0,35.0
"Bytco Point, Nashik Road",specialty coffee shop,STAR BOYS BURGAR SANDWICH PIZZA,080105 80917,,4.7,18.0
"Bytco Point, Nashik Road",specialty coffee shop,BANGALORE IYYANGAR BAKERY,077700 01330,,4.1,116.0
"Bytco Point, Nashik Road",specialty coffee shop,Shree Ram Rabadiwala(Main Branch),088882 18284,,4.6,17.0
"Bytco Point, Nashik Road",specialty coffee shop,Hotel Maharashtra And Restaurant,,,4.3,52.0
"Bytco Point, Nashik Road",cafe,Leo's cafe,,,5.0,11.0
"Bytco Point, Nashik Road",cafe,Love At Every Bite Cafe And Cakes,0253 403 2654,,4.7,487.0
"Bytco Point, Nashik Road",cafe,Cafe Movd,089283 12807,,4.5,21.0
"Bytco Point, Nashik Road",cafe,Aatmatirth Cafe,0253 245 7162,,3.9,12.0
"Bytco Point, Nashik Road",cafe,Pokket cafe College Road,085303 68669,,4.6,630.0
"Bytco Point, Nashik Road",cafe,Cafe Once Upon A Time,,,4.7,25.0
"Bytco Point, Nashik Road",cafe,"Pokket cafe, Ashoka marg, Nashik",096736 97656,,4.4,923.0
"Bytco Point, Nashik Road",cafe,NAMO'S CAFE,080072 82966,,4.6,9.0
"Bytco Point, Nashik Road",cafe,Lucky'z Cafe,099703 49007,,5.0,4.0
"Bytco Point, Nashik Road",cafe,Chai Tapri,097661 88377,,4.1,605.0
"Bytco Point, Nashik Road",cafe,Meena cafe,,,4.7,3.0
"Bytco Point, Nashik Road",cafe,Skylight Cafe Nashik Road,0788 745 6262,,4.0,7.0
"Bytco Point, Nashik Road",cafe,BLACKBIRD CAFE,077209 09956,,4.0,3.0
"Bytco Point, Nashik Road",cafe,YUVRAJ CYBER CAFE,,,4.4,35.0
"Bytco Point, Nashik Road",cafe,La Terraza The Cafe Bar,,,4.0,164.0
"Bytco Point, Nashik Road",cafe,ACE CYBER CAFE,098505 24314,,4.6,5.0
"Bytco Point, Nashik Road",cafe,The chinese nook family restarant,,,3.2,31.0
"Bytco Point, Nashik Road",cafe,Stamping Ground,095031 41111,,4.1,1097.0
"Bytco Point, Nashik Road",cafe,# Tag Cafe,,,5.0,2.0
"Bytco Point, Nashik Road",cafe,Miraki Nashik Road,,,4.0,3.0
"Bytco Point, Nashik Road",cafe,CAFE SKC BY SHREE KRISHNA CHAAT,,,5.0,2.0
"Bytco Point, Nashik Road",cafe,Nasik road,,,3.6,7.0
"Bytco Point, Nashik Road",cafe,Hotel Darshan Bar & Restaurant,0253 246 3842,,3.5,239.0
